hash,label
AgACAgIAAxkDAAIB3GElO5oNus1Zgzg3E-FKm37uYnPiAAIvtTEbfY8oSdoz7IA0hvO2AQADAgADbQADIAQ,В котором
AgACAgIAAxkDAAIB3WElO5ph7su_KC-fmExFoHNXXY5FAAIwtTEbfY8oSRU76syHNXBJAQADAgADbQADIAQ,Долинка
AgACAgIAAxkDAAIB3mElO5tk8vj1_pOm7o1-zdwbhTLmAAIxtTEbfY8oSY6Pvd0YB8yUAQADAgADeAADIAQ,Западно-Казахстанская
AgACAgIAAxkDAAIB32ElO5utS5AJAaES97V2twgWLDEzAAIytTEbfY8oSSutX-xew9rqAQADAgADbQADIAQ,Шымкент
AgACAgIAAxkDAAIB4GElO5sqszVO3n5YYX1lD2a7JuzEAAIztTEbfY8oSdbtafmFen56AQADAgADeAADIAQ,Мамлютка
AgACAgIAAxkDAAIB4WElO5um5WKVaWVgW8R-hC25TS8MAAI0tTEbfY8oSZ8eAAGXQ1fYIQEAAwIAA3gAAyAE,"и неземной покой,"
AgACAgIAAxkDAAIB4mElO5s0eqRWgaK3JpOaS5W1QeGjAAI1tTEbfY8oSf5BRslSOCZvAQADAgADeAADIAQ,Таджикистан
AgACAgIAAxkDAAIB42ElO5soIBYh8S4ttvQFmflcGbFjAAI2tTEbfY8oSd0bvpnYQQ0sAQADAgADeAADIAQ,Молдавия
AgACAgIAAxkDAAIB5GElO5un9FzJZ9Qy-YSPPq7EXAy-AAI3tTEbfY8oSQ8nvhk7--SCAQADAgADbQADIAQ,Тараз
AgACAgIAAxkDAAIB5WElO5w6E30yblQTmoqqpdbyfVsQAAI4tTEbfY8oSasKs0BS1nsfAQADAgADeAADIAQ,я со стола.
AgACAgIAAxkDAAIB5mElO5yucI5UCGgBOPRXjCJpFcqOAAI5tTEbfY8oSfDqrvfwcybwAQADAgADeAADIAQ,"Но волчат не тронул,"
AgACAgIAAxkDAAIB52ElO5yw0JPlchwlFEqeQdH36fRpAAI6tTEbfY8oSUIjYe_KCfSwAQADAgADbQADIAQ,Качар
AgACAgIAAxkDAAIB6GElO5yhxgieB78Jj6U9XAx5As7mAAI7tTEbfY8oSfy1EnVjRZ1MAQADAgADbQADIAQ,до захода
AgACAgIAAxkDAAIB6WElO5wlYo4sO61zIavUpma7CGhwAAI8tTEbfY8oSUE0dSexfz4sAQADAgADbQADIAQ,Ботакара
AgACAgIAAxkDAAIB6mElO5xlpBSINkXhotfdtdUiQicwAAI9tTEbfY8oSZ_p67SyZJNzAQADAgADbQADIAQ,АБхаЗИя
AgACAgIAAxkDAAIB62ElO5xOfFGJskY41KKVFB75yDJVAAI-tTEbfY8oSYHtuZPWMkj8AQADAgADeAADIAQ,Друг другу
