	width	height	description	moderatedBy
aug_1/aug_0_0_0	495	64	Шёл человек.	Norlist
aug_1/aug_0_0_1	494	65	Шёл человек	Norlist
aug_1/aug_0_0_10	489	73	Шёл человек	Norlist
aug_1/aug_0_0_11	406	46	Шёл человек.	Norlist
aug_1/aug_0_0_12	379	76	Шёл человек	Norlist
aug_1/aug_0_0_13	578	73	Шёл человек	Norlist
aug_1/aug_0_0_14	440	73	Шёл человек	Norlist
aug_1/aug_0_0_15	529	44	Шёл человек.	Norlist
aug_1/aug_0_0_16	390	64	Шёл человек	Norlist
aug_1/aug_0_0_18	476	80	Шёл человек,	Norlist
aug_1/aug_0_0_19	481	64	Шёл человек.	Norlist
aug_1/aug_0_0_2	403	55	Шёл человек	Norlist
aug_1/aug_0_0_20	583	76	Шёл человек,	Norlist
aug_1/aug_0_0_21	463	83	Шёл человек	Norlist
aug_1/aug_0_0_22	361	45	Шёл человек,	Norlist
aug_1/aug_0_0_23	353	57	Шёл человек	Norlist
aug_1/aug_0_0_24	345	62	Шёл человек	Norlist
aug_1/aug_0_0_25	477	73	Шёл человек	Norlist
aug_1/aug_0_0_26	462	62	Шёл человек	Norlist
aug_1/aug_0_0_27	442	84	Шёл человек	Norlist
aug_1/aug_0_0_28	442	83	Шёл человек	Norlist
aug_1/aug_0_0_29	444	79	Шёл человек	Norlist
aug_1/aug_0_0_3	375	75	Шёл человек	Norlist
aug_1/aug_0_0_30	427	58	Шёл человек.	Norlist
aug_1/aug_0_0_31	415	83	Шёл человек	Norlist
aug_1/aug_0_0_32	409	91	Шёл человек	Norlist
aug_1/aug_0_0_33	476	78	Шёл человек	Norlist
aug_1/aug_0_0_34	401	58	Шёл человек.	Norlist
aug_1/aug_0_0_35	378	72	Шёл человек	Norlist
aug_1/aug_0_0_36	543	83	Шёл человек	Norlist
aug_1/aug_0_0_37	449	80	Шёл человек	Norlist
aug_1/aug_0_0_38	375	71	Шёл человек	Norlist
aug_1/aug_0_0_39	545	75	Шёл человек	Norlist
aug_1/aug_0_0_4	452	76	Шел человек.	Norlist
aug_1/aug_0_0_40	396	71	Шёл человек	Norlist
aug_1/aug_0_0_41	320	52	Шёл человек	Norlist
aug_1/aug_0_0_42	403	53	Шёл человек	Norlist
aug_1/aug_0_0_43	340	73	Шёл человек.	Norlist
aug_1/aug_0_0_44	471	73	Шёл человек	Norlist
aug_1/aug_0_0_45	376	77	Шёл человек.	Norlist
aug_1/aug_0_0_46	367	58	Шёл человек.	Norlist
aug_1/aug_0_0_47	554	64	Шёл человек	Norlist
aug_1/aug_0_0_48	511	68	Шёл человек.	Norlist
aug_1/aug_0_0_49	525	67	Шёл человек	Norlist
aug_1/aug_0_0_5	353	99	Шёл человек	Norlist
aug_1/aug_0_0_50	438	59	Шел человек	Norlist
aug_1/aug_0_0_51	398	63	Шёл человек.	Norlist
aug_1/aug_0_0_52	382	49	Шёл человек	Norlist
aug_1/aug_0_0_53	555	78	Шёл человек	Norlist
aug_1/aug_0_0_55	508	63	Шел человек	Norlist
aug_1/aug_0_0_56	366	43	Шёл человек	Norlist
aug_1/aug_0_0_58	373	67	Шёл человек	Norlist
aug_1/aug_0_0_59	393	73	Шёл человек	Norlist
aug_1/aug_0_0_6	406	59	Шёл. человек.	Norlist
aug_1/aug_0_0_60	516	76	Шёл человек	Norlist
aug_1/aug_0_0_61	450	74	Шёл человек	Norlist
aug_1/aug_0_0_611	513	79	Шёл человек	Norlist
aug_1/aug_0_0_612	396	56	Шел человек	Norlist
aug_1/aug_0_0_613	429	77	Шёл человек	Norlist
aug_1/aug_0_0_614	484	71	Шёл человек	Norlist
aug_1/aug_0_0_615	545	64	Шёл человек.	Norlist
aug_1/aug_0_0_616	522	89	Шел человек	Norlist
aug_1/aug_0_0_617	381	55	Шёл человек.	Norlist
aug_1/aug_0_0_618	300	50	Шёл человек	Norlist
aug_1/aug_0_0_619	550	88	Шёл человек	Norlist
aug_1/aug_0_0_62	360	52	Шёл человек	Norlist
aug_1/aug_0_0_620	340	77	Шёл человек	Norlist
aug_1/aug_0_0_621	453	67	Шёл человек.	Norlist
aug_1/aug_0_0_622	531	76	Шёл человек	Norlist
aug_1/aug_0_0_623	481	72	Шёл человек.	Norlist
aug_1/aug_0_0_624	482	79	Шел человек.	Norlist
aug_1/aug_0_0_625	414	69	Шёл человек	Norlist
aug_1/aug_0_0_626	565	60	Шёл человек.	Norlist
aug_1/aug_0_0_627	535	60	Шёл человек	Norlist
aug_1/aug_0_0_628	404	64	Шёл человек	Norlist
aug_1/aug_0_0_629	375	73	Шел человек	Norlist
aug_1/aug_0_0_630	539	80	Шел человек	Norlist
aug_1/aug_0_0_631	471	72	Шёл человек.	Norlist
aug_1/aug_0_0_633	453	70	Шёл человек	Norlist
aug_1/aug_0_0_634	408	67	Шёл человек.	Norlist
aug_1/aug_0_0_635	385	62	Шёл человек.	Norlist
aug_1/aug_0_0_636	405	76	Шел человек	Norlist
aug_1/aug_0_0_7	478	78	Шёл человек	Norlist
aug_1/aug_0_0_8	479	44	Шёл человек	Norlist
aug_1/aug_0_0_9	410	51	Шёл человек	Norlist
aug_1/aug_0_10_10	595	75	Слепым волчатам	Daniyar Borisovich
aug_1/aug_0_10_14	561	59	Слепым волчатам	Norlist
aug_1/aug_0_10_19	594	60	Слепым волчатам	Norlist
aug_1/aug_0_10_22	428	46	Слепым волчатам	Norlist
aug_1/aug_0_10_23	517	63	Слепым волчатам	Norlist
aug_1/aug_0_10_24	549	65	Слепым волчатам	Norlist
aug_1/aug_0_10_25	590	56	Слепым волчатам	Norlist
aug_1/aug_0_10_26	585	46	Слепым волчатам	Norlist
aug_1/aug_0_10_3	527	57	Слепым волчатам	Norlist
aug_1/aug_0_10_31	546	74	Слепым волчатам	Norlist
aug_1/aug_0_10_32	580	77	Слепым волчатам	Daniyar Borisovich
aug_1/aug_0_10_35	539	63	Слепым волчатам	Norlist
aug_1/aug_0_10_38	575	78	Слепым волчатам	Daniyar Borisovich
aug_1/aug_0_10_4	595	62	Слепым волчатам	Norlist
aug_1/aug_0_10_40	577	63	Слепым волчатам	Norlist
aug_1/aug_0_10_41	568	61	Слепым волчатам	Norlist
aug_1/aug_0_10_42	544	66	Слепым волчатам	Norlist
aug_1/aug_0_10_43	469	83	Слепым волчатам	Daniyar Borisovich
aug_1/aug_0_10_45	550	53	Слепым волчатам	Norlist
aug_1/aug_0_10_46	547	64	Слепым волчатам	Norlist
aug_1/aug_0_10_5	514	83	Слепым волчатам	Daniyar Borisovich
aug_1/aug_0_10_56	505	49	Слепым волчатам	Norlist
aug_1/aug_0_10_58	501	55	Слепым волчатам	Norlist
aug_1/aug_0_10_59	588	46	Слепым волчатам	Norlist
aug_1/aug_0_10_6	581	55	Слепым волчатам	Norlist
aug_1/aug_0_10_612	591	49	Слепым волчатам	Norlist
aug_1/aug_0_10_614	573	57	Слепым волчатам	Norlist
aug_1/aug_0_10_617	566	48	Слепым волчатам	Norlist
aug_1/aug_0_10_618	481	48	Слепым волчатам	Norlist
aug_1/aug_0_10_62	581	69	Слепым волчатам	Norlist
aug_1/aug_0_10_620	529	60	Слепым волчатам	Norlist
aug_1/aug_0_10_621	563	76	Слепым волчатам	Norlist
aug_1/aug_0_10_624	574	67	Слепым волчатам	Norlist
aug_1/aug_0_10_625	565	75	Слепым волчатам	Norlist
aug_1/aug_0_10_628	567	65	Слепым волчатам	Norlist
aug_1/aug_0_10_629	568	82	Слепым волчатам	Norlist
aug_1/aug_0_10_630	521	65	Слепым волчатам	Norlist
aug_1/aug_0_10_631	559	60	Слепым волчатам	Norlist
aug_1/aug_0_10_633	552	76	Слепым волчатам	Norlist
aug_1/aug_0_10_634	600	64	Слепым волчатам	Norlist
aug_1/aug_0_10_635	509	61	Слепым волчатам	Norlist
aug_1/aug_0_10_636	575	45	Слепым волчатам	Norlist
aug_1/aug_0_10_7	582	63	Слепым волчатам	Daniyar Borisovich
aug_1/aug_0_10_8	564	33	Слепым волчатам	Norlist
aug_1/aug_0_10_9	561	57	Слепым волчатам	Norlist
aug_1/aug_0_11_0	530	74	Они, толкаясь	Norlist
aug_1/aug_0_11_1	550	51	Они толкаясь	Norlist
aug_1/aug_0_11_10	460	82	Они, толкаясь	Daniyar Borisovich
aug_1/aug_0_11_11	465	47	Они, толкаясь	Norlist
aug_1/aug_0_11_12	445	90	Они, толкаясь	Daniyar Borisovich
aug_1/aug_0_11_13	542	65	Они, толкаясь	Norlist
aug_1/aug_0_11_14	433	69	Они, толкаясь	Norlist
aug_1/aug_0_11_16	513	42	Они, толкаясь	Norlist
aug_1/aug_0_11_18	539	73	Они, толкаясь	Norlist
aug_1/aug_0_11_19	464	61	Они, толкаясь	Norlist
aug_1/aug_0_11_2	541	83	Они, толкаясь,	Norlist
aug_1/aug_0_11_20	562	69	Они, толкаясь	Norlist
aug_1/aug_0_11_21	552	87	Они, толкаясь	Daniyar Borisovich
aug_1/aug_0_11_22	334	48	Они, толкаясь	Norlist
aug_1/aug_0_11_23	383	62	Они, толкаясь	Norlist
aug_1/aug_0_11_24	393	62	Они, толкаясь	Norlist
aug_1/aug_0_11_25	447	49	Они, толкаясь	Norlist
aug_1/aug_0_11_26	475	62	Они, толкаясь	Norlist
aug_1/aug_0_11_27	508	73	Они, толкаясь	Norlist
aug_1/aug_0_11_28_	474	48	Они толкаясь	Daniyar Borisovich
aug_1/aug_0_11_29	495	97	Они, толкаясь	Daniyar Borisovich
aug_1/aug_0_11_3	393	65	Они, толкаясь	Norlist
aug_1/aug_0_11_32	512	67	Они, толкаясь	Daniyar Borisovich
aug_1/aug_0_11_33	518	74	Они, толкаясь	Daniyar Borisovich
aug_1/aug_0_11_34	487	59	Они, толкаясь	Norlist
aug_1/aug_0_11_35	424	72	Они, толкаясь	Norlist
aug_1/aug_0_11_36	560	79	Они, толкаясь	Daniyar Borisovich
aug_1/aug_0_11_37	475	95	Они, толкаясь	Daniyar Borisovich
aug_1/aug_0_11_38	406	76	Они, толкаясь	Daniyar Borisovich
aug_1/aug_0_11_39	588	88	Они, толкаясь	Daniyar Borisovich
aug_1/aug_0_11_4	457	69	Они, толкаясь	Norlist
aug_1/aug_0_11_40	469	56	Они, толкаясь	Norlist
aug_1/aug_0_11_41	409	64	Они, толкаясь	Norlist
aug_1/aug_0_11_42	404	65	Они, толкаясь	Norlist
aug_1/aug_0_11_43	321	79	Они, толкаясь	Daniyar Borisovich
aug_1/aug_0_11_44	468	72	Они, толкаясь	Daniyar Borisovich
aug_1/aug_0_11_45	386	60	Они, толкаясь	Norlist
aug_1/aug_0_11_46	463	65	Они, толкаясь	Norlist
aug_1/aug_0_11_47	585	75	Они, толкаясь	Norlist
aug_1/aug_0_11_48	581	80	Они, толкаясь	Norlist
aug_1/aug_0_11_50	481	61	Они, толкаясь	Norlist
aug_1/aug_0_11_51	494	65	Они, толкаясь	Norlist
